reference_id,title,manual_type,reason,expected_path,source_url,previous_error
TEA-ATM-26C8A828DD,OVERDRIVE PLANETARY GEAR AND OVERDRIVE DIRECT CLUTCH INSPECTION,Automatic Transmission Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE DIRECT CLUTCH\OVERDRIVE PLANETARY GEAR AND OVERDRIVE DIRECT CLUTCH INSPECTION [26c8a828dd6bd73f092780bbfd3c6d54].pdf,http://century.trinom.org/public/26c8a828dd6bd73f092780bbfd3c6d54.pdf,
TEA-ATM-A3030F404C,PLANETARY SUN GEAR AND NO.1 ONE-WAY CLUTCH ASSEMBLY,Automatic Transmission Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\FRONT PLANETARY GEAR\PLANETARY SUN GEAR AND NO.1 ONE-WAY CLUTCH ASSEMBLY [a3030f404c6790595fbd520d476c210a].pdf,http://century.trinom.org/public/a3030f404c6790595fbd520d476c210a.pdf,
TEA-ATM-FFB540CFB3,"OVERDRIVE PLANETARY GEAR, OVERDRIVE DIRECT CLUTCH AND OVERDRIVE ONE-WAY CLUTCH ASSEMBLY",Automatic Transmission Manual,file missing,"C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE DIRECT CLUTCH\OVERDRIVE PLANETARY GEAR, OVERDRIVE DIRECT CLUTCH AND OVERDRIVE ONE-WAY CLUTCH ASSEMBLY [ffb540cfb3bcb6b7fa1139e03491d48a].pdf",http://century.trinom.org/public/ffb540cfb3bcb6b7fa1139e03491d48a.pdf,
TEA-BRM-A388B5A7E2,"REAR FLOOR No.1 CROSSMEMBER, REAR FLOOR No.2 CROSSMEMBER (ASSY)",Body Repair Manual,file missing,"C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Body Repair Manual for Collision Damage\BODY PANEL REPLACEMENT\REAR FLOOR No.1 CROSSMEMBER, REAR FLOOR No.2 CROSSMEMBER (ASSY) [a388b5a7e20c52257f407f8f19d0f77e].pdf",http://century.trinom.org/public/a388b5a7e20c52257f407f8f19d0f77e.pdf,
TEA-BRM-ADD28F9436,FRONT SIDE MEMBER REAR No.1 INNER REINFORCEMENT (ASSY),Body Repair Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Body Repair Manual for Collision Damage\BODY PANEL REPLACEMENT\FRONT SIDE MEMBER REAR No.1 INNER REINFORCEMENT (ASSY) [add28f9436c3bb5002da9b5938a8219e].pdf,http://century.trinom.org/public/add28f9436c3bb5002da9b5938a8219e.pdf,
TEA-ERM-0747C051CE,Back Up Power Source Circuit ( 2001.12 - ) [ Only for Hong Kong ],Engine Repair Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Engine Repair Manual [ 1GZ-FE ]\DIAGNOSTICS\ENGINE\Back Up Power Source Circuit ( 2001.12 - ) [ Only for Hong Kong ] [0747c051ce67aa23f65f4d3183c13671].pdf,http://century.trinom.org/public/0747c051ce67aa23f65f4d3183c13671.pdf,
TEA-ERM-185CA3FC94,HOW TO DETERMINE NUT STRENGTH ( 2001.12 - ) [ Only for Hong Kong ],Engine Repair Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Engine Repair Manual [ 1GZ-FE ]\SERVICE SPECIFICATIONS\STANDARD BOLT\HOW TO DETERMINE NUT STRENGTH ( 2001.12 - ) [ Only for Hong Kong ] [185ca3fc947a090281ef72c3ced29e61].pdf,http://century.trinom.org/public/185ca3fc947a090281ef72c3ced29e61.pdf,
TEA-ERM-309D975964,HOW TO PROCEED WITH TROUBLESHOOTING,Engine Repair Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Engine Repair Manual [ 1GZ-FE ]\INTRODUCTION\HOW TO TROUBLESHOOT ECU CONTROLLED SYSTEMS\HOW TO PROCEED WITH TROUBLESHOOTING [309d975964d73a87a179d70ca9d5085d].pdf,http://century.trinom.org/public/309d975964d73a87a179d70ca9d5085d.pdf,
TEA-ERM-43FE3DF391,GENERAL INFORMATION ( 2001.12 - ) [ Only for Hong Kong ],Engine Repair Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Engine Repair Manual [ 1GZ-FE ]\INTRODUCTION\REPAIR INSTRUCTIONS\GENERAL INFORMATION ( 2001.12 - ) [ Only for Hong Kong ] [43fe3df3919a89d7b4a0740f099ca80d].pdf,http://century.trinom.org/public/43fe3df3919a89d7b4a0740f099ca80d.pdf,
TEA-ERM-4479C610F7,ON-VEHICLE INSPECTION,Engine Repair Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Engine Repair Manual [ 1GZ-FE ]\ELECTRONIC FUEL INJECTION\ACOUSTIC CONTROL INDUCTION SYSTEM (ACIS)\ON-VEHICLE INSPECTION [4479c610f7996ad1cd1eb7874128f8e8].pdf,http://century.trinom.org/public/4479c610f7996ad1cd1eb7874128f8e8.pdf,
TEA-ERM-478C235781,HOW TO USE THE DIAGNOSTIC CHART AND INSPECTION PROCEDURE ( 2001.12 - ) [ Only for Hong Kong ],Engine Repair Manual,file missing,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\Engine Repair Manual [ 1GZ-FE ]\INTRODUCTION\HOW TO TROUBLESHOOT ECU CONTROLLED SYSTEMS\HOW TO USE THE DIAGNOSTIC CHART AND INSPECTION PROCEDURE ( 2001.12 - ) [ Only for Hong Kong ] [478c235781e8af55f776f2827068420b].pdf,http://century.trinom.org/public/478c235781e8af55f776f2827068420b.pdf,
