reference_id,document_uid,manufacturer,model_name,chassis_code,engine_code,transmission_code,model_year,title,manual_type_original,manual_type_normalized,system_name,section_path,download_status,source_url,source_hash,original_local_path,resolved_local_path,file_exists,pdf_valid,size_bytes,sha256,error
TEA-ATM-CA10A76D24,d614f318-3e5f-53d1-be8b-deb85fc498d0,Toyota,Century,GZG50,,A343E,1997,ABBREVIATIONS USED IN THIS MANUAL,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,INTRODUCTION,downloaded,http://century.trinom.org/public/ca10a76d244fe58d469ea58d6d63e335.pdf,ca10a76d244fe58d469ea58d6d63e335,PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\ABBREVIATIONS USED IN THIS MANUAL [ca10a76d244fe58d469ea58d6d63e335].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\ABBREVIATIONS USED IN THIS MANUAL [ca10a76d244fe58d469ea58d6d63e335].pdf,1,1,15636,3c4daca00e1ceec95ad34b6a3c5a19f61023db8a010d62ec9c539e1163c83b8d,
TEA-ATM-988AF7DF0D,146337ed-ffed-5174-b0fa-91c908562ea2,Toyota,Century,GZG50,,A343E,1997,ABBREVIATIONS USED IN THIS MANUAL,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,INTRODUCTION / TERMS,downloaded,http://century.trinom.org/public/988af7df0df2f13e08aced235bcf7e14.pdf,988af7df0df2f13e08aced235bcf7e14,PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\TERMS\ABBREVIATIONS USED IN THIS MANUAL [988af7df0df2f13e08aced235bcf7e14].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\TERMS\ABBREVIATIONS USED IN THIS MANUAL [988af7df0df2f13e08aced235bcf7e14].pdf,1,1,30547,e0bfcb295cd8ad216441c277403373ff857d1e0ce403193cb11474f05a39a889,
TEA-ATM-24849DCEB3,09587045-6d81-58d1-966d-406adb43c82a,Toyota,Century,GZG50,,A343E,1997,BASIC SUBASSEMBLY REASSEMBLY,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / COMPONENT PARTS INSTALLATION,downloaded,http://century.trinom.org/public/24849dceb30291b659acabec02974b1e.pdf,24849dceb30291b659acabec02974b1e,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS INSTALLATION\BASIC SUBASSEMBLY REASSEMBLY [24849dceb30291b659acabec02974b1e].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS INSTALLATION\BASIC SUBASSEMBLY REASSEMBLY [24849dceb30291b659acabec02974b1e].pdf,1,1,669850,c598bab5390dc6c7858b8138c8adb982c665f71779cc5d0001bc30f9f77b9efe,
TEA-ATM-741120EA0F,466cb017-579c-5523-8acd-ba50048820b6,Toyota,Century,GZG50,,A343E,1997,COMPONENT PARTS INSTALLATION,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / COMPONENT PARTS INSTALLATION,downloaded,http://century.trinom.org/public/741120ea0f6d5ba5ee5689f8acaa6725.pdf,741120ea0f6d5ba5ee5689f8acaa6725,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS INSTALLATION\COMPONENT PARTS INSTALLATION [741120ea0f6d5ba5ee5689f8acaa6725].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS INSTALLATION\COMPONENT PARTS INSTALLATION [741120ea0f6d5ba5ee5689f8acaa6725].pdf,1,1,53343,5ea2ec6e75fd2851e1416581ff49e811b68e360699fe5f1ff48e4c2e014e6b85,
TEA-ATM-BE6954AD27,404bb8b1-57f5-5448-ad42-913768b840c3,Toyota,Century,GZG50,,A343E,1997,COMPONENTS,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / COMPONENT PARTS REMOVAL,downloaded,http://century.trinom.org/public/be6954ad27235191f1ba776b3c1a1835.pdf,be6954ad27235191f1ba776b3c1a1835,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS REMOVAL\COMPONENTS [be6954ad27235191f1ba776b3c1a1835].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS REMOVAL\COMPONENTS [be6954ad27235191f1ba776b3c1a1835].pdf,1,1,88016,802ab06a2fe9a74d442ab000e16fef9dc45b57b4ed94929b324c008881ca5118,
TEA-ATM-2693817C8C,8b6998b3-327f-51f1-9351-bbe93417a8c9,Toyota,Century,GZG50,,A343E,1997,COMPONENTS,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / COMPONENT PARTS,downloaded,http://century.trinom.org/public/2693817c8c27421f7ed93e5607d0b74a.pdf,2693817c8c27421f7ed93e5607d0b74a,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS\COMPONENTS [2693817c8c27421f7ed93e5607d0b74a].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS\COMPONENTS [2693817c8c27421f7ed93e5607d0b74a].pdf,1,1,202093,fbeeccd72101683d0832e8d56c4802a3540db2f38c01318ab4366fef141ff579,
TEA-ATM-0E255704FC,953d491f-1ba6-56e0-8f32-0fd443992205,Toyota,Century,GZG50,,A343E,1997,COMPONENTS,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / OIL PUMP,downloaded,http://century.trinom.org/public/0e255704fc00df376e436545b0828408.pdf,0e255704fc00df376e436545b0828408,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OIL PUMP\COMPONENTS [0e255704fc00df376e436545b0828408].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OIL PUMP\COMPONENTS [0e255704fc00df376e436545b0828408].pdf,1,1,101348,facf32ec52a666894eeaf865ba8f412545bedcf77d2dc375c2d601cc64293f53,
TEA-ATM-AE02D282B6,056eee7a-eae0-5a4d-b20b-af525caf1c3f,Toyota,Century,GZG50,,A343E,1997,COMPONENTS,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / SECOND COAST BRAKE,downloaded,http://century.trinom.org/public/ae02d282b652ea5a8b2128f9707bddb7.pdf,ae02d282b652ea5a8b2128f9707bddb7,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SECOND COAST BRAKE\COMPONENTS [ae02d282b652ea5a8b2128f9707bddb7].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SECOND COAST BRAKE\COMPONENTS [ae02d282b652ea5a8b2128f9707bddb7].pdf,1,1,49537,5ff1afe4d8d96251f2369f6624c2abba858db3d24a2c1af0df2766ed6795ba9b,
TEA-ATM-6058794E80,4916c047-8312-51f5-92be-1d4da20876c3,Toyota,Century,GZG50,,A343E,1997,COMPONENTS,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / OVERDRIVE DIRECT CLUTCH,downloaded,http://century.trinom.org/public/6058794e80ea89705e88adeb4cfb987a.pdf,6058794e80ea89705e88adeb4cfb987a,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE DIRECT CLUTCH\COMPONENTS [6058794e80ea89705e88adeb4cfb987a].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE DIRECT CLUTCH\COMPONENTS [6058794e80ea89705e88adeb4cfb987a].pdf,1,1,128739,3bbced6949fbdbe514aec7b01731129487e9d7a6844c853f94afe1fa7abcb414,
TEA-ATM-1CE0847509,b1b6a9a1-56c5-5ae4-bc4c-97ba3dfda6db,Toyota,Century,GZG50,,A343E,1997,COMPONENTS,A_T Repair Manual [ A343E ],Automatic Transmission Manual,Transmission,AUTOMATIC TRANSMISSION / OVERDRIVE BRAKE,downloaded,http://century.trinom.org/public/1ce08475090a6d4a219b393025717920.pdf,1ce08475090a6d4a219b393025717920,PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE BRAKE\COMPONENTS [1ce08475090a6d4a219b393025717920].pdf,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE BRAKE\COMPONENTS [1ce08475090a6d4a219b393025717920].pdf,1,1,56818,32378501666a0edb4a18706ba8ff67aef861eeaef347b843ef7776d61fc0e566,
