reference_id,title,manual_type_normalized,system_name,page_count,text_page_count,image_only_page_count,resolved_local_path
TEA-ATM-CA10A76D24,ABBREVIATIONS USED IN THIS MANUAL,Automatic Transmission Manual,Transmission,1,0,1,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\INTRODUCTION\ABBREVIATIONS USED IN THIS MANUAL [ca10a76d244fe58d469ea58d6d63e335].pdf
TEA-ATM-24849DCEB3,BASIC SUBASSEMBLY REASSEMBLY,Automatic Transmission Manual,Transmission,21,0,21,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS INSTALLATION\BASIC SUBASSEMBLY REASSEMBLY [24849dceb30291b659acabec02974b1e].pdf
TEA-ATM-741120EA0F,COMPONENT PARTS INSTALLATION,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS INSTALLATION\COMPONENT PARTS INSTALLATION [741120ea0f6d5ba5ee5689f8acaa6725].pdf
TEA-ATM-BE6954AD27,COMPONENTS,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\COMPONENT PARTS REMOVAL\COMPONENTS [be6954ad27235191f1ba776b3c1a1835].pdf
TEA-ATM-0E255704FC,COMPONENTS,Automatic Transmission Manual,Transmission,3,0,3,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OIL PUMP\COMPONENTS [0e255704fc00df376e436545b0828408].pdf
TEA-ATM-AE02D282B6,COMPONENTS,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\SECOND COAST BRAKE\COMPONENTS [ae02d282b652ea5a8b2128f9707bddb7].pdf
TEA-ATM-6058794E80,COMPONENTS,Automatic Transmission Manual,Transmission,4,0,4,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE DIRECT CLUTCH\COMPONENTS [6058794e80ea89705e88adeb4cfb987a].pdf
TEA-ATM-1CE0847509,COMPONENTS,Automatic Transmission Manual,Transmission,2,0,2,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\OVERDRIVE BRAKE\COMPONENTS [1ce08475090a6d4a219b393025717920].pdf
TEA-ATM-3BEC76D679,COMPONENTS,Automatic Transmission Manual,Transmission,3,0,3,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\DIRECT CLUTH\COMPONENTS [3bec76d67967a3daabf1432176240a4b].pdf
TEA-ATM-DF1082A640,COMPONENTS,Automatic Transmission Manual,Transmission,3,0,3,C:\Users\pangw\Downloads\Century_Manual_Archiver\Century_Manual_Archiver\Century_GZG50_Archive\PDFs\A_T Repair Manual [ A343E ]\AUTOMATIC TRANSMISSION\FORWARD CLUTCH\COMPONENTS [df1082a640d00a0fafb4a060503b8464].pdf
