reference_id,title,manual_type_normalized,system_name,engine_code,transmission_code,analysis_status,page_count,bookmark_count,text_page_count,image_only_page_count,total_text_characters,average_text_characters,searchable_text,needs_ocr,encrypted,extraction_error,analyzed_at
TEA-ATM-028A180DAB,COMPONENTS,Automatic Transmission Manual,Transmission,,A343E,complete,1,0,1,0,302,302.0,1,0,0,,2026-07-18 07:09:45
TEA-ATM-0292A4D112,VALVE BODY ASSEMBLY,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,0,2,0,0.0,0,1,0,,2026-07-18 07:09:45
TEA-ATM-048AE59FA7,OVERDRIVE BRAKE INSPECTION,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,0,2,0,0.0,0,1,0,,2026-07-18 07:09:45
TEA-ATM-0581AAF592,RECOMMENDED TOOLS,Automatic Transmission Manual,Transmission,,A343E,complete,1,0,1,0,191,191.0,1,0,0,,2026-07-18 07:09:45
TEA-ATM-0E255704FC,COMPONENTS,Automatic Transmission Manual,Transmission,,A343E,complete,3,0,0,3,0,0.0,0,1,0,,2026-07-18 07:09:45
TEA-ATM-1186EE70A4,SERVICE DATE,Automatic Transmission Manual,Transmission,,A343E,complete,4,0,0,4,0,0.0,0,1,0,,2026-07-18 07:09:45
TEA-ATM-155959CA56,REASSEMBLY,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,2,0,1729,864.5,1,0,0,,2026-07-18 07:09:45
TEA-ATM-192700F785,COMPONENTS,Automatic Transmission Manual,Transmission,,A343E,complete,1,0,1,0,256,256.0,1,0,0,,2026-07-18 07:09:45
TEA-ATM-1CE0847509,COMPONENTS,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,0,2,0,0.0,0,1,0,,2026-07-18 07:09:45
TEA-ATM-1E2F32DF52,RETAINERS LOCATION,Automatic Transmission Manual,Transmission,,A343E,complete,1,0,0,1,0,0.0,0,1,0,,2026-07-18 07:09:45
TEA-ATM-211D9DCBBA,REASSEMBLY,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,2,0,2137,1068.5,1,0,0,,2026-07-18 07:10:52
TEA-ATM-21DD1EB3D1,REASSEMBLY,Automatic Transmission Manual,Transmission,,A343E,complete,3,0,3,0,2077,692.3333333333334,1,0,0,,2026-07-18 07:10:52
TEA-ATM-24849DCEB3,BASIC SUBASSEMBLY REASSEMBLY,Automatic Transmission Manual,Transmission,,A343E,complete,21,0,0,21,0,0.0,0,1,0,,2026-07-18 07:10:52
TEA-ATM-24BE5E6A9A,COMPONENTS,Automatic Transmission Manual,Transmission,,A343E,complete,1,0,1,0,346,346.0,1,0,0,,2026-07-18 07:10:52
TEA-ATM-2693817C8C,COMPONENTS,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,2,0,2315,1157.5,1,0,0,,2026-07-18 07:10:52
TEA-ATM-26C8A828DD,OVERDRIVE PLANETARY GEAR AND OVERDRIVE DIRECT CLUTCH INSPECTION,Automatic Transmission Manual,Transmission,,A343E,pending,,,,,,,,,,,
TEA-ATM-273985E56B,FIRST AND REVERSE BRAKE INSPECTION,Automatic Transmission Manual,Transmission,,A343E,complete,1,0,0,1,0,0.0,0,1,0,,2026-07-18 07:10:52
TEA-ATM-27D492C003,DISASSEMBLY,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,2,0,1296,648.0,1,0,0,,2026-07-18 07:10:52
TEA-ATM-291EE98FB0,COMPONENTS,Automatic Transmission Manual,Transmission,,A343E,complete,2,0,0,2,0,0.0,0,1,0,,2026-07-18 07:10:52
